name,title_firm,city_context,linkedin_url
Roelof Botha,Managing Partner - Sequoia Capital,Menlo Park,https://www.linkedin.com/in/roelofbotha/
David Cahn,Partner - Sequoia Capital,Menlo Park,https://www.linkedin.com/in/david-cahn-60150793/
Jess Lee,Partner - Sequoia Capital,Menlo Park,https://www.linkedin.com/in/jesskah
Bill Coughran,Partner - Sequoia Capital,Menlo Park,https://www.linkedin.com/in/billcoughran
Stephanie Zhan,Partner - Sequoia Capital,Menlo Park,https://www.linkedin.com/in/stephaniezhan
Michael Moritz,Partner - Sequoia Heritage,Menlo Park,https://www.linkedin.com/in/michaelmoritz/
Sonya Huang,Partner - Sequoia Capital,Menlo Park,https://www.linkedin.com/in/sonyaruihuang/
Andrew Reed,Partner - Sequoia Capital,Menlo Park,https://www.linkedin.com/in/andrew-reed-sequoia
Douglas Leone,Partner - Sequoia Capital,Atherton,https://www.linkedin.com/in/douglas-leone-a2714/
Croom Beatty,Partner - Menlo Ventures,Menlo Park,https://www.linkedin.com/in/croombeatty/
C.C. Gong,Partner - Menlo Ventures,Menlo Park,https://www.linkedin.com/in/ccxgong
Shawn Carolan,Partner - Menlo Ventures,Menlo Park,https://www.linkedin.com/in/scarolan
Houman Haghighi,Partner - Menlo Ventures,Menlo Park,https://www.linkedin.com/in/houman/
Rama Sekhar,Partner - Menlo Ventures,Menlo Park,https://www.linkedin.com/in/ramasekhar/
Steve Sloane,Partner - Menlo Ventures,Menlo Park,https://www.linkedin.com/in/steve-sloane-7a00ba30
Tim Tully,Partner - Menlo Ventures,Menlo Park,https://www.linkedin.com/in/timothytully
Asheem Chandna,Partner - Greylock Partners,Menlo Park,https://www.linkedin.com/in/chandna/
Jerry Chen,Partner - Greylock Partners,Menlo Park,https://www.linkedin.com/in/jerrychenprofile/
David Sze,Partner - Greylock Partners,Menlo Park,https://www.linkedin.com/in/davidsze
Mike Duboe,General Partner - Greylock Partners,Menlo Park,https://www.linkedin.com/in/mikeduboe
Saam Motamedi,Partner - Greylock Partners,Menlo Park,https://www.linkedin.com/in/saammotamedi/
Reid Hoffman,Partner - Greylock Partners,Menlo Park,https://www.linkedin.com/in/reidhoffman/
Lee Haney,Partner - Greylock Partners,Menlo Park,https://www.linkedin.com/in/leehaney
Christine Kim,Investor - Greylock Partners,Menlo Park,https://www.linkedin.com/in/christinexkim
Josh McFarland,Partner - Greylock Partners,Menlo Park,https://www.linkedin.com/in/joshmcfarland
Jonathan Lai,General Partner - Andreessen Horowitz,Menlo Park,https://www.linkedin.com/in/jlai84
Jorge Conde,General Partner - Andreessen Horowitz,Menlo Park,https://www.linkedin.com/in/jorge-conde-4099225/
Guido Appenzeller,Partner - Andreessen Horowitz,Menlo Park,https://www.linkedin.com/in/appenz
Andrew Chen,General Partner - Andreessen Horowitz,Menlo Park,https://www.linkedin.com/in/andrewchen/
Andrew Omori,Partner - Andreessen Horowitz,Menlo Park,https://www.linkedin.com/in/andrewomori/
Alex Rampell,General Partner - Andreessen Horowitz,Menlo Park,https://www.linkedin.com/in/arampell/
Jennifer Li,Partner - Andreessen Horowitz,Menlo Park,https://www.linkedin.com/in/jenniferhli
Kimberly Tan,Investing Partner - Andreessen Horowitz,Menlo Park,https://www.linkedin.com/in/kimberlywtan
Jeremy Liew,Partner - Lightspeed Venture Partners,Menlo Park,https://www.linkedin.com/in/jeremyliew
Nnamdi Iregbulem,Partner - Lightspeed Venture Partners,Menlo Park,https://www.linkedin.com/in/nnamdiiregbulem/
Barry Eggers,Founding Partner - Lightspeed Venture Partners,Menlo Park,https://www.linkedin.com/in/barry-eggers-3b63692
Ravi Mhatre,Founder - Lightspeed Venture Partners,Menlo Park,https://www.linkedin.com/in/ravimhatre/
Peter Nieh,Founder - Lightspeed Venture Partners,Menlo Park,https://www.linkedin.com/in/peternieh/
Luke Beseda,Partner - Lightspeed Venture Partners,Menlo Park,https://www.linkedin.com/in/lbeseda/
Christopher Schaepe,Founder - Lightspeed Venture Partners,Menlo Park,https://www.linkedin.com/in/christopher-schaepe-49463334/
Sam Eisler,Partner - Lightspeed Venture Partners,Menlo Park,https://www.linkedin.com/in/sam-eisler/
John Doerr,Chairman - Kleiner Perkins,Menlo Park,https://www.linkedin.com/in/john-doerr-03248211/
Ted Schlein,General Partner - Ballistic Ventures,Menlo Park,https://www.linkedin.com/in/ted-schlein-5630184b/
Ilya Fushman,Partner - Kleiner Perkins,Menlo Park,https://www.linkedin.com/in/ilyafushman/
Mamoon Hamid,Managing Partner - Kleiner Perkins,Menlo Park,https://www.linkedin.com/in/mamoonha
Leigh Marie Braswell,Partner - Kleiner Perkins,Menlo Park,https://www.linkedin.com/in/leigh-marie-braswell/
Ryan Panchadsaram,Investor - Kleiner Perkins,Menlo Park,https://www.linkedin.com/in/ryanpanchadsaram
Samir Kaul,General Partner - Khosla Ventures,Menlo Park,https://www.linkedin.com/in/samir-kaul-9227b64
Rajesh Swaminathan,Partner - Khosla Ventures,Menlo Park,https://www.linkedin.com/in/rajeshswaminathan
Adina Tecklu,Partner - Khosla Ventures,Menlo Park,https://www.linkedin.com/in/adinatecklu/
Kanu Gulati,Partner - Khosla Ventures,Menlo Park,https://www.linkedin.com/in/kanugulati/
Vijay Karunamurthy,Partner - Khosla Ventures,Menlo Park,https://www.linkedin.com/in/vjkaruna/
Sven Strohband,Managing Director - Khosla Ventures,Menlo Park,https://www.linkedin.com/in/sven-strohband-348b841/
Vinod Khosla,Founder - Khosla Ventures,Portola Valley,https://www.linkedin.com/in/vinod-khosla-65387416/
Mike Speiser,Managing Director - Sutter Hill Ventures,Palo Alto,https://www.linkedin.com/in/mikespeiser/
Doug Mohr,Partner - Sutter Hill Ventures,Palo Alto,https://www.linkedin.com/in/mohrsquared/
Sam Pullara,Managing Director - Sutter Hill Ventures,Palo Alto,https://www.linkedin.com/in/spullara/
Stefan Dyckerhoff,Managing Director - Sutter Hill Ventures,Palo Alto,https://www.linkedin.com/in/stefandyckerhoff
Navin Chaddha,Managing Partner - Mayfield,Menlo Park,https://www.linkedin.com/in/navinchaddha
Sri Pangulur,Partner - Mayfield,Menlo Park,https://www.linkedin.com/in/sripangulur
Brooke Seawell,Partner - New Enterprise Associates,Menlo Park,https://www.linkedin.com/in/brooke-seawell-89511a18/
