name,net_worth_approx_2026,source_of_wealth,city
Eric Schmidt,~$20B,Google / Alphabet,"Atherton, CA"
George Roberts,~$8B,KKR (private equity),"Atherton, CA"
Jan Koum,~$10B,WhatsApp,"Atherton, CA"
John A. Sobrato & family,~$6B,Real estate,"Atherton, CA"
Marc Andreessen,~$1.9B,Andreessen Horowitz (VC),"Atherton, CA"
Douglas Leone,~$5.6B,Sequoia Capital (VC),"Atherton, CA"
Tim Draper,~$2.8B,Draper Associates / DFJ (VC),"Atherton, CA"
Ben Horowitz,~$2B,Andreessen Horowitz (VC),"Atherton, CA"
Aneel Bhusri,~$2.3B,Workday / PeopleSoft,"Atherton, CA"
Jim Coulter,~$2.5B,TPG (private equity),"Atherton, CA"
Larry Ellison,~$190B+,Oracle,"Woodside, CA"
John Doerr,~$11B,Kleiner Perkins (VC),"Woodside, CA"
Thomas Siebel,~$4B,Siebel Systems / C3.ai,"Woodside, CA"
Jeffrey Skoll,~$4B,eBay,"Woodside, CA"
Scott Cook,~$4B,Intuit,"Woodside, CA"
Charles Schwab,~$10B,Charles Schwab Corp,"Woodside, CA"
Mike Markkula,~$1B,Apple (early investor),"Woodside, CA"
Nick Woodman,~$0.5B,GoPro,"Woodside, CA"
Vinod Khosla,~$9B,Khosla Ventures / Sun Microsystems,"Portola Valley, CA"
Andy Bechtolsheim,~$16B,Sun Microsystems / Arista Networks,"Portola Valley, CA"
John Morgridge,~$1.5B,Cisco Systems,"Portola Valley, CA"
Larry Page,~$250B,Google / Alphabet,"Palo Alto, CA"
Mark Zuckerberg,~$200B+,Meta,"Palo Alto, CA"
Laurene Powell Jobs,~$15B,Apple / Emerson Collective,"Palo Alto, CA"
David Filo,~$4B,Yahoo,"Palo Alto, CA"
David Cheriton,~$11B,Google (early investor) / Stanford,"Palo Alto, CA"
Richard Peery,~$2B,Real estate,"Palo Alto, CA"
Reid Hoffman,~$2.5B,LinkedIn,"Palo Alto, CA"
Chamath Palihapitiya,~$1.2B,Social Capital,"Palo Alto, CA"
Brian Acton,~$2.5B,WhatsApp,"Palo Alto, CA"
Sundar Pichai,~$1.3B,Google / Alphabet,"Palo Alto, CA"
Marissa Mayer,~$0.6B,Yahoo / Google,"Palo Alto, CA"
Romesh Wadhwani,~$8B,Symphony Technology Group,"Palo Alto, CA"
Sheryl Sandberg,~$2.3B,Meta,"Menlo Park, CA"
Ram Shriram,~$3B,Google (early investor) / Sherpalo,"Menlo Park, CA"
Sergey Brin,~$230B,Google / Alphabet,"Los Altos Hills, CA (adjacent)"
Jensen Huang,~$170B,Nvidia,"Los Altos Hills, CA (adjacent)"
Yuri Milner,~$7B,DST Global,"Los Altos Hills, CA (adjacent)"
Jerry Yang,~$2.7B,Yahoo,"Los Altos Hills, CA (adjacent)"
Diane Greene,~$1B,VMware,"Los Altos, CA (adjacent)"
Eric Yuan,~$4B,Zoom,"Bay Area (Santa Clara County)"
Reed Hastings,~$6B,Netflix,"Santa Cruz, CA"
Dustin Moskovitz,~$12B,Facebook / Asana,"San Francisco, CA"
Michael Moritz,~$5B,Sequoia Capital (VC),"San Francisco, CA"
Max Levchin,~$2.5B,PayPal / Affirm,"San Francisco, CA"
Gordon Getty,~$2B,Getty Oil inheritance,"San Francisco, CA"
Jyoti Bansal,~$1.5B,AppDynamics / Harness,"Bay Area, CA"
Pradeep Sindhu,~$1B,Juniper Networks,"Bay Area, CA"
Aart de Geus,~$0.5B,Synopsys,"Bay Area, CA"
Keith Krach,~$1B,DocuSign / Ariba,"Bay Area, CA"
